,bin,time(ms),not first & no update & correct,not first & update & correct,
314919309,8,177,-0.19281,0.18568,
314919309,9,202,-0.18756,0.2158,
314919309,10,227,-0.16719,0.19404,
314919309,11,252,-0.15815,0.1627,
314919309,12,277,-0.16049,0.18613,
314919309,13,303,-0.14963,0.16947,
314919309,14,328,-0.16159,0.14761,
314919309,15,353,-0.1969,0.099258,
314919309,16,378,-0.18561,0.098311,
314919309,17,404,-0.20539,0.098488,
314919309,18,429,-0.21269,0.068432,
314919309,19,454,-0.2431,0.032898,
314919309,20,479,-0.24121,0.018335,
314919309,21,504,-0.25103,0.0039498,
314919309,22,530,-0.28934,-0.0080465,
314919309,23,555,-0.28563,-0.024759,
314919309,24,580,-0.30014,-0.025317,
314919309,25,605,-0.3054,-0.0097954,
314919309,26,630,-0.30162,-0.028508,
314919309,27,656,-0.29414,-0.04427,
314919309,28,681,-0.29917,-0.019565,
314919309,29,706,-0.28606,-0.030648,
314919309,30,731,-0.28667,-0.030251,
314919309,31,757,-0.30134,-0.0046635,
314919309,32,782,-0.26297,0.0032278,
314919309,33,807,-0.26026,-0.0056284,
314919309,34,832,-0.24012,0.014473,
314919309,35,857,-0.24514,0.048684,
314919309,36,883,-0.24864,0.039728,
314919309,37,908,-0.25226,0.018768,
314919309,38,933,-0.25129,0.022341,
314919309,39,958,-0.24698,0.032798,
314919309,40,984,-0.20967,0.047651,
314919309,41,1009,-0.20526,0.061478,
314919309,42,1034,-0.21117,0.084667,
314919309,43,1059,-0.21999,0.063654,
314919309,44,1084,-0.20371,0.10251,
314919309,45,1110,-0.19376,0.086922,
314919309,46,1135,-0.17753,0.098715,
314919309,47,1160,-0.1714,0.12086,
314919309,48,1185,-0.16592,0.13304,
314919309,49,1211,-0.15395,0.11009,
314919309,50,1236,-0.16293,0.1355,
314919309,51,1261,-0.14197,0.12101,
314919309,52,1286,-0.12965,0.13218,
314919309,53,1311,-0.10864,0.13798,
314919309,54,1337,-0.15227,0.13371,
314919309,55,1362,-0.12912,0.12684,
314919309,56,1387,-0.12831,0.13023,
314919309,57,1412,-0.13751,0.128,
314919309,58,1438,-0.11456,0.14591,
314919309,59,1463,-0.089264,0.13084,
314919309,60,1488,-0.081635,0.15631,
314919309,61,1513,-0.053124,0.13783,
314919309,62,1538,-0.041959,0.13665,
314919309,63,1564,-0.025775,0.13827,
314919309,64,1589,-0.022285,0.17018,
314919309,65,1614,0.020237,0.16429,
314919309,66,1639,0.034554,0.15381,
314919309,67,1664,0.044603,0.15823,
314919309,68,1690,0.026221,0.17519,
314919309,69,1715,0.023573,0.15964,
314919309,70,1740,-0.01019,0.12361,
314919309,71,1765,-0.02591,0.12217,
314919309,72,1791,-0.073612,0.10138,
314919309,73,1816,-0.099101,0.10287,
314919309,74,1841,-0.11283,0.079755,
314919309,75,1866,-0.18033,0.074941,
314919309,76,1891,-0.20827,0.076711,
314919309,77,1917,-0.21845,0.056735,
314919309,78,1942,-0.26693,0.033434,
314919309,79,1967,-0.27118,0.031104,
314919309,80,1992,-0.30327,0.009675,
314919309,81,2018,-0.29602,-0.0061577,
314919309,82,2043,-0.30329,-0.011974,
314919309,83,2068,-0.28594,-0.094847,
314919309,84,2093,-0.32414,-0.056377,
314919309,85,2118,-0.3408,-0.10969,
314919309,86,2144,-0.3681,-0.15016,
314919309,87,2169,-0.35541,-0.13147,
314919309,88,2194,-0.3598,-0.16589,
314919309,89,2219,-0.37843,-0.19524,
314919309,90,2245,-0.35432,-0.18119,
314919309,91,2270,-0.35428,-0.21791,
314919309,92,2295,-0.36015,-0.19813,
314919309,93,2320,-0.35902,-0.24251,
314919309,94,2345,-0.35203,-0.23307,
314919309,95,2371,-0.33716,-0.2219,
314919309,96,2396,-0.3111,-0.24997,
314919309,97,2421,-0.29723,-0.27076,
314919309,98,2446,-0.30611,-0.23777,
314919309,99,2471,-0.2975,-0.26452,
314919309,100,2497,-0.31802,-0.25232,
314919309,101,2522,-0.30323,-0.22982,
314919309,102,2547,-0.31496,-0.25425,
314919309,103,2572,-0.30961,-0.25716,
314919309,104,2598,-0.28818,-0.24963,
314919309,105,2623,-0.25427,-0.2449,
314919309,106,2648,-0.22413,-0.21936,
314919309,107,2673,-0.26428,-0.24207,
314919309,108,2698,-0.2463,-0.20293,
314919309,109,2724,-0.22925,-0.19754,
314919309,110,2749,-0.23894,
314919309,111,2774,-0.30411,
314919309,112,2799,-0.28376,
314919309,113,2825,-0.31538,
314919309,114,2850,-0.25958,
314919309,115,2875,-0.25428,
318657061,1,0,-0.015679,-0.00026803,
318657061,2,25,-0.032016,0.067679,
318657061,3,50,-0.056074,0.060161,
318657061,4,76,-0.045332,0.091553,
318657061,5,101,-0.044489,0.077847,
318657061,6,126,-0.0064803,0.09204,
318657061,7,151,-0.028353,0.085235,
318657061,8,176,0.012551,0.092734,
318657061,9,202,0.0023293,0.11987,
318657061,10,227,0.022174,0.12309,
318657061,11,252,0.043658,0.11538,
318657061,12,277,0.034385,0.12705,
318657061,13,303,0.038226,0.13788,
318657061,14,328,0.05077,0.15813,
318657061,15,353,0.0004623,0.15701,
